Negara;Nilai Investasi;Remitansi;Jumlah Wisatawan;Ekspor;Populasi;PDB
Afrika Selatan;10603;1;31872;843103;63212384;380.91
Albania;6.8;0.154;1113;13210;2811655;23.03
Amerika Serikat;3283113;0.0909;392310;23287665;343477335;26949.64
Anguilla;13080.7;0.09;0;104;14410;0.29
Armenia;2245;0.077;1309;7738;2943393;24.54
Australia;545190.9;4;143117;3178483;26451124;1687.71
Austria;102207.7;0.23;34984;39071;9130429;526.18
Azerbaijan;846.3;0.1078;1823;4886;10318207;77.39
Bahama;4483.5;1.75;112;7471;399440;13.88
Bahrain;267.8;1;1825;52881;1569666;44.99
Belanda;1258314;0;250201;3866493;18092524;1092.75
Belarusia;4085.7;0.1694;7700;13411;9115680;68.86
Bermuda;248548.5;0.0227;0;2823;64698;7
Bosnia dan Herzegovina;0;0.1232;850;912;3185073;26.95
Brunei Darussalam;204.4;37;13518;197133;458949;15.15
Bulgaria;2905;2.7404;7233;409457;6795803;103.1
Burkina Faso;0;0;164;24480;23025776;20.79
Dominika;263.2;1.0227;197;34790;66510;0.7
Eswatini;5833.3;0;7176;3053;1230506;4.65
Guinea;31.7;0.0051;52;125165;14405468;23.21
Hongkong RRT;6504786;1821;13885;2651116;7442734;385.55
Hungaria;47023.6;6.8819;16689;88648;9686463;203.83
India;275380.6;0.3376;606439;20290562;1438069596;3732.22
Inggris;386653.7;35;335209;1521867;68682962;3332.06
Iraq;451;0.8571;2820;292939;45074049;254.99
Irlandia;22367.8;0.0154;34466;114396;5196630;589.57
Italia;37512.2;70;104393;2098630;59499453;2186.08
Jepang;4639450;270;251866;20789559;124370947;4230.86
Jerman;157766.5;6;263534;2524069;84548231;4429.84
Kamboja;0;6.8906;12611;856039;17423880;30.94
Kanada;357785.7;0.0909;83696;1300078;39299105;2117.81
Kazakhstan;627.2;0.135;8198;111400;20330104;259.29
Kepulauan Cayman;83787.2;0.02;0;2084;73038;6.99
Khyrgistan;10.4;0.045;837;6514;7073516;12.68
Kongo;0;0.03;76;92815;6182885;14.41
Korea Selatan;2543600;432;347185;10301819;51748739;1709.23
Kroasia;63;0.4465;3981;178193;3896023;80.19
Kuwait;480.5;52;4692;253999;4838782;159.69
Lebanon;1197.9;2.1429;3425;98706;5773493;17.94
Liberia;6.2;0.0429;20;33651;5493031;4.35
Lithuania;2808.9;0.077;9436;38512;2854099;79.43
Madagascar;0.7;0.0025;270;42263;31195932;15.76
Makao;0;24;3163;2846;713912;38.48
Maladewa;35.8;7.4277;2879;43873;525994;6.98
Malaysia;4060170;4592;1901242;12460270;35126928;430.9
Malta;903.1;0.0154;1708;24196;532956;20.31
Maroko;1322.3;0.0152;11241;146956;37712505;147.34
Mauritius;235977.7;0.0025;1371;63549;1273588;14.82
Meksiko;1039.4;0.3864;14341;2161592;129739759;1811.47
Mesir;1255;0;16832;1312345;114535772;398.4
Moldova;1479.5;0.0462;577;547;3067070;16
Nigeria;438.6;0.0227;1672;498299;227882945;17.07
Pakistan;5003.7;0.0675;14264;3031139;247504495;340.64
Papua Nugini;0.7;4.007;76471;196860;10389635;31.69
Perancis;302819.9;1;273682;962522;66438822;3049.02
Philipina;46736.3;0.1406;209458;11039808;114891199;435.68
Polandia;2916.1;23.4631;41988;772257;38762844;842.17
Qatar;1367.9;20;1961;713533;2979082;235.5
R.R. Tiongkok;7438379;0.2701;787924;64938703;1422584933;17700.9
Rumania;4441.5;3.4025;25031;135787;19118479;350.41
Rusia;114071.4;3.7874;161323;913038;145440500;1862.47
Samoa Amerika;38878.7;0.0569;89;0;47521;0.94
Saudi Arabia;7148.2;3948;107684;2078796;33264292;1069.44
Selandia Baru;11945.4;2.1173;116603;592995;5172836;249.42
Serbia;1684.8;0.1232;3727;34830;6773201;75.02
Seychelles;272304.6;0.0682;195;5544;127951;2.09
Singapura;15355235;412;1414447;12607218;5789090;497.35
Siprus;14085.3;2;1845;16155;1344976;32.03
Slovakia;2938.8;6.1737;7503;34112;5518055;133.04
Spanyol;24479.2;2;106581;2194560;47911579;1582.05
Sri Lanka;9894.4;3.1286;7393;326629;22971617;84.36
Sudan;0.6;0;1463;82770;50042791;25.57
Suriname;2795.1;0.8409;355;5421;628886;3.54
Taiwan;190114.3;2021;155150;670000;23317145;751.93
Thailand;185857.9;1.9688;111786;7224333;71702435;512.19
Turki;11817.7;35.2409;30433;1538335;87270501;1154.6
UAE;68858.1;144;8537;2649129;10642081;509.18
Uzbekistan;407.6;0.7878;5283;16337;35652307;90.39
Yordania;2552.8;179;6140;722768;11439213;50.02
Yunani;678.4;0.0462;9531;251241;10242908;242.39
